Time(s),X(m),Y(m),Z(m),Vx(m/s),Vy(m/s),Vz(m/s),Alpha(rad),Beta(rad),Gamma(rad),V_alpha(rad/s),V_beta(rad/s),V_gamma(rad/s)
16.75,0.95955,-0.946984,0.408432,0.005374,-0.098591,0.016901,-0.174469,0.08757,-3.112535,0.000719,-0.001217,-0.123807
16.8,0.959808,-0.951913,0.409281,0.005154,-0.098594,0.016967,-0.174478,0.08763,-3.118833,0.000141,-0.001214,-0.125984
16.85,0.960055,-0.956843,0.410127,0.004949,-0.098591,0.016938,-0.174498,0.087641,-3.125053,0.000387,-0.000213,-0.124426
16.9,0.960267,-0.961779,0.410976,0.00424,-0.09872,0.016977,-0.174473,0.087558,-3.130652,-0.000458,0.001651,-0.111933
16.95,0.960455,-0.966723,0.411835,0.003759,-0.098874,0.017174,-0.174325,0.08753,-3.135593,-0.002955,0.000605,-0.098578
17.0,0.960618,-0.971655,0.412689,0.003262,-0.098651,0.017075,-0.174383,0.087544,-3.140598,0.001163,-0.000283,-0.100203
17.05,0.960728,-0.976587,0.413545,0.002186,-0.098631,0.017124,-0.174468,0.087512,3.137108,0.001686,0.000635,-0.109718
17.1,0.960811,-0.98152,0.414407,0.001671,-0.098658,0.01725,-0.174495,0.087544,3.131254,0.000538,-0.000654,-0.11714
17.15,0.960889,-0.986452,0.415271,0.001552,-0.09865,0.017278,-0.174507,0.087579,3.12532,0.000263,-0.000679,-0.118699
17.2,0.960944,-0.991387,0.416135,0.001099,-0.09869,0.017271,-0.174516,0.087532,3.119687,0.000149,0.000928,-0.11268
17.25,0.960971,-0.996327,0.417005,0.000553,-0.098803,0.017397,-0.174435,0.087496,3.114598,-0.001623,0.000698,-0.101626
17.3,0.960987,-1.001266,0.417879,0.00032,-0.098778,0.017489,-0.174352,0.087497,3.10988,-0.001657,-6.5e-05,-0.094217
17.35,0.960957,-1.006195,0.418748,-0.000604,-0.098581,0.017371,-0.174443,0.087496,3.104751,0.001825,7.8e-05,-0.102743
17.4,0.960872,-1.011123,0.419623,-0.001704,-0.098557,0.017497,-0.174505,0.087512,3.098961,0.001241,-0.000279,-0.115915
17.45,0.960778,-1.016048,0.420501,-0.001884,-0.098512,0.017578,-0.174547,0.087575,3.09298,0.000888,-0.001228,-0.119689
17.5,0.960677,-1.020974,0.42138,-0.002012,-0.098518,0.01757,-0.174576,0.0876,3.086987,0.000608,-0.00046,-0.119913
17.55,0.960543,-1.025907,0.422259,-0.002689,-0.098649,0.017581,-0.174546,0.087528,3.081421,-0.000691,0.001402,-0.111262
17.6,0.960379,-1.030843,0.423147,-0.003269,-0.098731,0.017757,-0.174419,0.087461,3.076361,-0.002592,0.001178,-0.100977
17.65,0.960196,-1.035771,0.424032,-0.003669,-0.098565,0.017695,-0.174426,0.087462,3.071218,0.000135,-7e-06,-0.102875
17.7,0.959961,-1.040694,0.424917,-0.004708,-0.098445,0.017711,-0.17449,0.087461,3.065499,0.001272,0.000108,-0.114489
17.75,0.959694,-1.04561,0.42581,-0.005328,-0.098323,0.017853,-0.17455,0.087535,3.059271,0.001293,-0.001388,-0.12467
17.8,0.95942,-1.050524,0.426704,-0.005488,-0.098288,0.017878,-0.174592,0.087603,3.052918,0.000948,-0.001275,-0.127123
17.85,0.959119,-1.055445,0.427595,-0.006005,-0.098416,0.017822,-0.174578,0.087543,3.046782,-0.000379,0.001158,-0.122705
17.9,0.958786,-1.060369,0.428493,-0.006678,-0.098473,0.017953,-0.174507,0.087467,3.041141,-0.001551,0.001385,-0.112697
17.95,0.958433,-1.065291,0.429397,-0.007051,-0.098442,0.018093,-0.174401,0.087406,3.035858,-0.002219,0.001005,-0.105463
18.0,0.958039,-1.070201,0.430295,-0.007882,-0.098197,0.017948,-0.174479,0.087431,3.030099,0.001595,-0.00034,-0.115329
18.05,0.957583,-1.075104,0.431198,-0.009111,-0.098065,0.01806,-0.174541,0.087467,3.023495,0.001302,-0.000576,-0.132191
18.1,0.957112,-1.080003,0.432106,-0.009433,-0.097982,0.018167,-0.174575,0.087543,3.016577,0.000855,-0.001438,-0.138406
18.15,0.956634,-1.084902,0.433014,-0.009555,-0.097974,0.018164,-0.174588,0.087589,3.009601,0.000365,-0.000875,-0.139541
18.2,0.956118,-1.089805,0.433921,-0.010328,-0.098059,0.018138,-0.17456,0.087509,3.003045,-0.000755,0.001518,-0.131072
18.25,0.955563,-1.094707,0.434839,-0.011083,-0.09805,0.018357,-0.17446,0.087403,2.997045,-0.002264,0.001826,-0.119838
18.3,0.954989,-1.099602,0.435754,-0.01148,-0.097892,0.018307,-0.174452,0.087382,2.990992,-0.000216,0.000385,-0.121032
18.35,0.954356,-1.104484,0.436667,-0.012674,-0.097656,0.01825,-0.174527,0.08741,2.984154,0.001548,-0.000325,-0.136889
18.4,0.953674,-1.109358,0.437589,-0.01363,-0.097464,0.018441,-0.174558,0.087497,2.976542,0.000885,-0.001623,-0.152307
18.45,0.952978,-1.114228,0.438513,-0.013918,-0.097411,0.018475,-0.174556,0.087525,2.968741,6.1e-05,-0.000562,-0.15602
18.5,0.952261,-1.119101,0.439432,-0.014345,-0.097449,0.01838,-0.174558,0.08748,2.961128,-0.000123,0.000891,-0.152262
18.55,0.951503,-1.123972,0.440357,-0.015171,-0.097431,0.018502,-0.17452,0.087417,2.954069,-0.000971,0.001117,-0.141099
18.6,0.950714,-1.128838,0.441293,-0.015772,-0.097317,0.018718,-0.174452,0.087333,2.947443,-0.001637,0.001395,-0.132411
18.65,0.949881,-1.133691,0.442218,-0.016654,-0.097052,0.018515,-0.174525,0.087364,2.940307,0.001552,-0.000339,-0.142847
18.7,0.948976,-1.138531,0.443149,-0.018095,-0.096806,0.018607,-0.174545,0.087435,2.932162,0.000666,-0.001309,-0.162929
18.75,0.948041,-1.14336,0.444088,-0.018703,-0.096574,0.018793,-0.174549,0.087515,2.923505,0.000418,-0.001534,-0.173144
18.8,0.947092,-1.148186,0.445026,-0.018991,-0.096534,0.018761,-0.174549,0.087454,2.914737,-0.000264,0.001193,-0.175366
18.85,0.946108,-1.153014,0.445958,-0.019672,-0.096557,0.018642,-0.174539,0.087416,2.906477,-0.000379,0.000679,-0.165187
18.9,0.945073,-1.157833,0.446905,-0.020702,-0.096386,0.018931,-0.174493,0.087316,2.898871,-0.001345,0.001744,-0.152039
18.95,0.944016,-1.162644,0.447852,-0.021134,-0.096219,0.01894,-0.174488,0.087302,2.891363,-0.000172,0.000236,-0.150156
19.0,0.942889,-1.167437,0.44879,-0.022545,-0.095861,0.018757,-0.174541,0.08736,2.88295,0.001314,-0.000856,-0.168353
19.05,0.941691,-1.17221,0.44974,-0.023959,-0.095447,0.018995,-0.174538,0.087448,2.873473,0.000387,-0.001726,-0.189519
19.1,0.940471,-1.176975,0.450692,-0.024409,-0.095301,0.019039,-0.174528,0.087404,2.863727,-0.000415,0.000812,-0.194911
19.15,0.939237,-1.181739,0.451638,-0.024675,-0.095291,0.018936,-0.174536,0.087383,2.854163,3.3e-05,0.00045,-0.191301
19.2,0.937953,-1.186497,0.452588,-0.025684,-0.09516,0.018999,-0.174521,0.087341,2.845289,-0.00053,0.000714,-0.177454
19.25,0.936626,-1.191243,0.453553,-0.026526,-0.094912,0.019301,-0.174502,0.087265,2.836917,-0.000794,0.001336,-0.167402
19.3,0.935252,-1.19606,0.454473,-0.027487,-0.096341,0.018388,-0.17309,0.087338,2.828181,-0.026416,-0.009823,-0.172258
19.35,0.933789,-1.200716,0.455444,-0.029264,-0.09312,0.019419,-0.173823,0.087339,2.818273,0.013914,0.00448,-0.199444
19.4,0.932289,-1.20537,0.456416,-0.029997,-0.093081,0.019449,-0.174201,0.087507,2.807567,0.008194,-0.000791,-0.214772
19.45,0.930764,-1.210025,0.457382,-0.030502,-0.093095,0.019325,-0.174495,0.087407,2.7967,0.004895,0.003816,-0.217864
19.5,0.929204,-1.214695,0.458338,-0.031204,-0.093408,0.019107,-0.174537,0.087343,2.78643,0.000357,0.001474,-0.205468
19.55,0.927585,-1.219354,0.459308,-0.032379,-0.093169,0.019413,-0.17448,0.08725,2.776974,-0.001712,0.001355,-0.189019
19.6,0.925947,-1.223997,0.460277,-0.032759,-0.092873,0.019376,-0.17454,0.087257,2.767696,0.001165,0.000283,-0.185664
19.65,0.924225,-1.228615,0.461237,-0.034432,-0.092355,0.019191,-0.174529,0.087319,2.757532,0.000241,-0.001238,-0.203258
19.7,0.922407,-1.233188,0.462208,-0.036371,-0.091464,0.01942,-0.174505,0.087382,2.746051,3.3e-05,-0.001344,-0.229589
19.75,0.920549,-1.237743,0.463178,-0.037143,-0.091095,0.019414,-0.174566,0.087162,2.734095,-0.000584,0.004532,-0.239232
19.8,0.918701,-1.242301,0.464146,-0.036967,-0.09115,0.019357,-0.174536,0.087276,2.722258,0.000356,-0.002318,-0.236688
19.85,0.916792,-1.246845,0.465113,-0.038184,-0.090899,0.019325,-0.174517,0.08725,2.711411,-0.000541,0.000308,-0.216894
19.9,0.914836,-1.251371,0.466086,-0.039126,-0.090518,0.019477,-0.174458,0.087373,2.701298,-6.2e-05,-0.002722,-0.202167
19.95,0.912819,-1.255868,0.467058,-0.040338,-0.089934,0.019424,-0.174495,0.08729,2.690759,-2.6e-05,0.001828,-0.210846
20.0,0.910708,-1.260322,0.468025,-0.042219,-0.089068,0.019352,-0.174517,0.08733,2.679108,0.000746,-0.000544,-0.233044
20.05,0.908534,-1.264738,0.469007,-0.043481,-0.088327,0.019631,-0.174502,0.087336,2.666498,-0.000211,-0.000239,-0.252177
20.1,0.906254,-1.269111,0.469933,-0.045602,-0.08747,0.018531,-0.174856,0.085838,2.652927,-0.007443,0.02987,-0.272024
20.15,0.904089,-1.273515,0.470926,-0.043286,-0.088078,0.019852,-0.174702,0.086752,2.640516,0.005873,-0.017586,-0.247962
20.2,0.901815,-1.277892,0.471916,-0.045476,-0.087527,0.019797,-0.174566,0.08695,2.629195,-0.000478,-0.004766,-0.22619
20.25,0.899641,-1.28219,0.472789,-0.043492,-0.085973,0.017459,-0.175445,0.089529,2.618837,0.040549,-0.036369,-0.208671
20.3,0.897185,-1.286514,0.473807,-0.04911,-0.086467,0.020364,-0.174974,0.088614,2.607201,-0.017266,0.011168,-0.231866
20.35,0.894619,-1.290775,0.474814,-0.051329,-0.085234,0.020137,-0.174484,0.087772,2.594047,-0.016972,0.009513,-0.262228
20.4,0.892055,-1.294993,0.475805,-0.051279,-0.084347,0.01983,-0.174499,0.087327,2.58047,-0.004388,0.007759,-0.271563
20.45,0.889542,-1.299225,0.476524,-0.050268,-0.084641,0.014377,-0.17399,0.086848,2.567335,-0.013677,0.002716,-0.261807
20.5,0.886953,-1.303406,0.477654,-0.051772,-0.08363,0.022606,-0.173734,0.08664,2.55493,-0.006536,0.000719,-0.247664
20.55,0.884282,-1.307504,0.47869,-0.053414,-0.081963,0.020713,-0.174176,0.086868,2.542893,0.009861,0.001073,-0.241491
20.6,0.881594,-1.311601,0.479662,-0.05377,-0.081936,0.019441,-0.174504,0.087353,2.530768,0.010862,-0.004322,-0.243076
20.65,0.878773,-1.315658,0.480621,-0.056406,-0.081137,0.019179,-0.174523,0.087277,2.517634,-0.000574,0.001464,-0.262714
20.7,0.875886,-1.319656,0.481593,-0.057742,-0.07996,0.019432,-0.174545,0.08726,2.503391,0.000168,0.000521,-0.284905
20.75,0.873048,-1.323668,0.482532,-0.056763,-0.080249,0.01878,-0.174175,0.088294,2.488748,0.006393,-0.020997,-0.292193
20.8,0.87007,-1.327618,0.483495,-0.059572,-0.078999,0.019268,-0.174465,0.087489,2.474536,-0.005188,0.0163,-0.284756
20.85,0.867057,-1.331544,0.484468,-0.060247,-0.078512,0.019464,-0.174484,0.087206,2.461497,-0.003204,0.004682,-0.260804
20.9,0.864118,-1.335343,0.485384,-0.058788,-0.075988,0.018311,-0.17625,0.088806,2.448792,0.047467,-0.002759,-0.257212
20.95,0.8609,-1.339312,0.486365,-0.064354,-0.079369,0.019633,-0.174131,0.087094,2.435153,-0.054332,-0.000623,-0.269052
21.0,0.857679,-1.343039,0.487323,-0.064415,-0.074547,0.019155,-0.174393,0.087122,2.420665,0.00432,0.002974,-0.290223
21.05,0.854433,-1.346704,0.487904,-0.064919,-0.073296,0.011623,-0.174681,0.087451,2.406133,0.008667,-0.001169,-0.291134
21.1,0.851147,-1.350316,0.489089,-0.065728,-0.072237,0.023697,-0.174693,0.087513,2.39206,0.001002,-0.000747,-0.281496
21.15,0.847821,-1.353966,0.490096,-0.066524,-0.073008,0.020137,-0.17457,0.087396,2.378106,-0.003389,3.5e-05,-0.278856
21.2,0.844432,-1.357569,0.491071,-0.067777,-0.072048,0.019501,-0.174452,0.087388,2.364873,-0.001798,-0.001511,-0.264457
21.25,0.840997,-1.361128,0.492005,-0.068706,-0.071183,0.01867,-0.174545,0.087259,2.35186,-0.000501,0.00315,-0.260426
21.3,0.837441,-1.36468,0.492897,-0.07112,-0.071047,0.017858,-0.173465,0.086563,2.337878,-0.025034,-0.005496,-0.277758
21.35,0.83387,-1.368044,0.493844,-0.071413,-0.067269,0.018924,-0.174078,0.086692,2.323293,0.010334,0.007,-0.292767
21.4,0.830295,-1.371375,0.494761,-0.071511,-0.066635,0.018339,-0.174656,0.087264,2.308869,0.016229,0.000586,-0.28948
21.45,0.826669,-1.374746,0.495673,-0.072518,-0.067406,0.018256,-0.174549,0.087188,2.294199,-0.002564,-0.000541,-0.293217
21.5,0.822989,-1.378049,0.496587,-0.073588,-0.066074,0.018264,-0.174676,0.087198,2.280703,0.001824,0.00176,-0.270151
21.55,0.819262,-1.381284,0.497121,-0.074536,-0.064696,0.010686,-0.174734,0.087122,2.268524,-0.000402,0.001866,-0.243678
21.6,0.815459,-1.384393,0.498249,-0.076076,-0.062179,0.022562,-0.174831,0.086783,2.255575,-0.003958,0.005835,-0.259149
21.65,0.811592,-1.387512,0.499216,-0.077335,-0.062369,0.019338,-0.174415,0.086579,2.241261,-0.008398,-0.003837,-0.28556
21.7,0.807698,-1.390562,0.500136,-0.077879,-0.060998,0.0184,-0.174331,0.086574,2.226534,-0.001114,-0.00125,-0.294385
21.75,0.803813,-1.393576,0.501024,-0.077691,-0.060292,0.017767,-0.174428,0.087041,2.212068,0.008585,-0.004159,-0.289482
21.8,0.79988,-1.396559,0.501896,-0.078668,-0.05965,0.017427,-0.174648,0.087216,2.198246,0.005428,0.001414,-0.27684
21.85,0.795972,-1.399487,0.502747,-0.078162,-0.058559,0.017022,-0.17479,0.08858,2.185639,0.023746,-0.01373,-0.252371
21.9,0.791863,-1.402396,0.503645,-0.082169,-0.058197,0.017958,-0.174447,0.087128,2.172676,-0.027681,0.011165,-0.258644
21.95,0.787786,-1.405196,0.504494,-0.081554,-0.055994,0.016992,-0.174646,0.087225,2.15952,0.003861,0.002178,-0.263466
22.0,0.783623,-1.407907,0.505347,-0.083253,-0.054225,0.017057,-0.174467,0.087114,2.145355,-0.003842,-0.001733,-0.283
22.05,0.779454,-1.410571,0.506187,-0.083388,-0.053268,0.0168,-0.174449,0.087195,2.131451,0.00117,-0.001189,-0.278045
22.1,0.775265,-1.413217,0.507025,-0.083779,-0.052925,0.01675,-0.174525,0.087133,2.117622,-0.000243,0.001945,-0.276707
22.15,0.771047,-1.415814,0.507857,-0.084352,-0.051934,0.016641,-0.174719,0.087139,2.104665,0.002113,0.003227,-0.259487
22.2,0.766937,-1.418346,0.508602,-0.082193,-0.05065,0.014912,-0.175024,0.089561,2.093112,0.04479,-0.019415,-0.231564
22.25,0.762563,-1.420859,0.509463,-0.087486,-0.050264,0.017206,-0.17462,0.088024,2.080498,-0.030661,0.008378,-0.251568
22.3,0.758163,-1.42325,0.510293,-0.087996,-0.047804,0.016599,-0.174517,0.087273,2.067468,-0.014115,0.005529,-0.260408
22.35,0.753758,-1.425573,0.511112,-0.088113,-0.046463,0.016394,-0.174462,0.086928,2.054053,-0.006583,0.002316,-0.268206
22.4,0.749377,-1.427861,0.511908,-0.087606,-0.045764,0.015925,-0.174496,0.087142,2.041121,0.004098,-0.001386,-0.258697
22.45,0.74497,-1.430123,0.512693,-0.088153,-0.045241,0.015682,-0.174647,0.087217,2.028522,0.002715,0.002014,-0.252252
22.5,0.740525,-1.432332,0.513482,-0.088903,-0.044176,0.015796,-0.174621,0.087173,2.017146,-0.001023,-8.8e-05,-0.227464
22.55,0.736084,-1.434464,0.513989,-0.08881,-0.042647,0.010123,-0.174534,0.087189,2.006232,-0.000471,-0.001698,-0.218131
22.6,0.731524,-1.436493,0.514928,-0.091197,-0.040579,0.018787,-0.174529,0.086428,1.994329,-0.013829,0.006327,-0.238062
22.65,0.726971,-1.438476,0.515736,-0.091068,-0.039652,0.016167,-0.174567,0.086302,1.981839,-0.001981,0.001726,-0.249864
22.7,0.722426,-1.440435,0.516508,-0.090896,-0.039178,0.01543,-0.174423,0.08652,1.969599,0.002847,-0.00437,-0.244547
22.75,0.71788,-1.442367,0.517257,-0.090921,-0.038648,0.014988,-0.174468,0.086845,1.957707,0.006335,-0.0017,-0.237914
22.8,0.713302,-1.444248,0.517996,-0.09155,-0.03761,0.014773,-0.174739,0.087021,1.946533,0.005296,0.003681,-0.223948
22.85,0.708709,-1.446089,0.518737,-0.091871,-0.036833,0.014827,-0.174544,0.087196,1.93684,0.001839,-0.004906,-0.193527
22.9,0.704085,-1.447872,0.51946,-0.092479,-0.035648,0.014457,-0.174616,0.087227,1.926917,0.001076,0.001113,-0.198588
22.95,0.699408,-1.449567,0.520168,-0.093547,-0.033902,0.014156,-0.174794,0.087123,1.916125,-0.000711,0.004056,-0.216149
23.0,0.694709,-1.451215,0.520878,-0.093977,-0.032956,0.014201,-0.174625,0.087003,1.904835,-0.003386,-0.002351,-0.2255
23.05,0.690014,-1.452834,0.521582,-0.093884,-0.032389,0.01409,-0.174506,0.087004,1.893833,-0.000773,-0.002252,-0.219834
23.1,0.685312,-1.454417,0.522273,-0.094047,-0.031666,0.01382,-0.174679,0.087094,1.883183,0.002802,0.002707,-0.213303
23.15,0.680589,-1.455949,0.522966,-0.094462,-0.030629,0.013858,-0.17483,0.087081,1.87355,0.000683,0.002927,-0.192927
23.2,0.675876,-1.457471,0.52366,-0.094256,-0.030436,0.013885,-0.174473,0.087271,1.864969,0.001506,-0.007921,-0.170994
23.25,0.671116,-1.458897,0.524326,-0.095208,-0.028521,0.013306,-0.174641,0.087219,1.855718,-3.3e-05,0.003504,-0.185308
23.3,0.666315,-1.460235,0.524988,-0.096022,-0.026762,0.01325,-0.174765,0.087044,1.845546,-0.002663,0.003358,-0.203667
23.35,0.661517,-1.461555,0.525649,-0.095952,-0.026401,0.013223,-0.174627,0.086973,1.835388,-0.002116,-0.002266,-0.202924
23.4,0.656722,-1.46286,0.526307,-0.095906,-0.026102,0.013143,-0.174549,0.086957,1.825388,-0.000698,-0.001401,-0.19985
23.45,0.65192,-1.464114,0.52695,-0.096042,-0.02508,0.012879,-0.174764,0.087061,1.816072,0.003096,0.003621,-0.186702
23.5,0.647112,-1.465324,0.527597,-0.096152,-0.024212,0.012938,-0.174717,0.087153,1.808058,0.001542,-0.001358,-0.160202
23.55,0.64229,-1.466499,0.528232,-0.096447,-0.023485,0.012698,-0.17469,0.087189,1.800088,0.000568,-0.000701,-0.159338
23.6,0.637432,-1.467596,0.528851,-0.097157,-0.021936,0.012365,-0.174838,0.087117,1.791341,-0.000724,0.003212,-0.175215
23.65,0.632557,-1.46864,0.529468,-0.09749,-0.020884,0.012357,-0.174803,0.086992,1.782107,-0.002588,-0.000139,-0.184602
23.7,0.627688,-1.469669,0.530084,-0.097387,-0.020595,0.012308,-0.174687,0.086945,1.772957,-0.001399,-0.002063,-0.182817
23.75,0.622819,-1.470671,0.530689,-0.097388,-0.020028,0.0121,-0.17477,0.087005,1.764161,0.0015,0.001376,-0.176047
23.8,0.617939,-1.471623,0.531292,-0.097584,-0.019042,0.012058,-0.174953,0.087032,1.756183,0.001222,0.003477,-0.159886
23.85,0.613069,-1.472558,0.531895,-0.097414,-0.0187,0.012071,-0.174786,0.087134,1.749138,0.001411,-0.003649,-0.140604
23.9,0.608174,-1.473434,0.53248,-0.097901,-0.017516,0.011692,-0.174799,0.087161,1.741703,0.00056,0.000151,-0.148721
23.95,0.60325,-1.474232,0.533055,-0.09848,-0.015962,0.01151,-0.174896,0.087047,1.733566,-0.001912,0.002303,-0.162906
24.0,0.598326,-1.475006,0.533631,-0.098479,-0.015488,0.01151,-0.174838,0.08695,1.725317,-0.002095,-0.000825,-0.164888
24.05,0.593407,-1.475774,0.534204,-0.098384,-0.015359,0.01146,-0.174751,0.086925,1.717087,-0.000763,-0.001639,-0.16444
24.1,0.588487,-1.476504,0.534766,-0.098394,-0.014585,0.011242,-0.174848,0.087008,1.709473,0.001919,0.001679,-0.152462
24.15,0.583568,-1.477185,0.535328,-0.098386,-0.013622,0.011231,-0.174916,0.087079,1.702889,0.001603,0.00114,-0.131789
24.2,0.578644,-1.477847,0.535883,-0.098461,-0.013254,0.0111,-0.174845,0.08713,1.696513,0.000812,-0.001531,-0.127393
24.25,0.573698,-1.47845,0.536423,-0.09892,-0.012059,0.010811,-0.174885,0.087104,1.689529,-0.000409,0.00085,-0.139757
24.3,0.568738,-1.478996,0.53696,-0.09921,-0.010921,0.010731,-0.174936,0.086989,1.682095,-0.002168,0.001276,-0.148772
24.35,0.563781,-1.479534,0.537495,-0.099133,-0.010743,0.010713,-0.174885,0.086931,1.674589,-0.00126,-0.000873,-0.150032
24.4,0.558828,-1.480056,0.538025,-0.099067,-0.010447,0.010594,-0.174895,0.086958,1.667301,0.000558,0.000131,-0.145771
24.45,0.553872,-1.480536,0.538552,-0.099113,-0.009607,0.010531,-0.175025,0.086986,1.6607,0.000807,0.002533,-0.132248
24.5,0.548925,-1.480994,0.539077,-0.098942,-0.009163,0.010503,-0.174944,0.087046,1.654907,0.00105,-0.001714,-0.115718
24.55,0.543968,-1.481414,0.539587,-0.099151,-0.008389,0.010215,-0.174882,0.087111,1.648874,0.001191,-0.001345,-0.120561
24.6,0.538989,-1.481765,0.540089,-0.099579,-0.007018,0.010037,-0.174965,0.087025,1.642257,-0.001579,0.001773,-0.132474
24.65,0.534007,-1.482087,0.54059,-0.099624,-0.006441,0.010006,-0.174949,0.086925,1.635468,-0.002019,-0.000173,-0.135748
24.7,0.52903,-1.482402,0.541088,-0.099552,-0.006312,0.009976,-0.174912,0.086878,1.628636,-0.000999,-0.000675,-0.136592
24.75,0.524058,-1.482697,0.541579,-0.099433,-0.005886,0.009803,-0.174908,0.086962,1.622224,0.001682,-0.000167,-0.128233
24.8,0.519086,-1.482944,0.542067,-0.09945,-0.004942,0.009768,-0.175033,0.086999,1.616582,0.000859,0.00245,-0.113056
24.85,0.514117,-1.483178,0.542551,-0.099373,-0.004686,0.009688,-0.17498,0.087053,1.611267,0.001038,-0.00111,-0.106208
24.9,0.509136,-1.48337,0.543024,-0.099618,-0.003832,0.009451,-0.174947,0.087055,1.605603,1e-05,-0.000652,-0.113225
24.95,0.504144,-1.483505,0.543491,-0.099843,-0.002698,0.009351,-0.174992,0.086944,1.599623,-0.00219,0.000963,-0.119677
25.0,0.499155,-1.48363,0.543958,-0.099777,-0.002514,0.009326,-0.174966,0.086876,1.593593,-0.001376,-0.000469,-0.120543
25.05,0.494171,-1.483748,0.54442,-0.099673,-0.002355,0.009237,-0.174948,0.086896,1.587691,0.000403,-0.000379,-0.118021
