Time(s),X(m),Y(m),Z(m),Vx(m/s),Vy(m/s),Vz(m/s),Alpha(rad),Beta(rad),Gamma(rad),V_alpha(rad/s),V_beta(rad/s),V_gamma(rad/s)
25.1,0.48919,-1.483834,0.544877,-0.099633,-0.001711,0.009142,-0.175018,0.086952,1.582329,0.001139,0.001381,-0.107352
25.15,0.484215,-1.48389,0.545332,-0.099497,-0.001121,0.009108,-0.175015,0.087007,1.577693,0.0011,-7.9e-05,-0.092709
25.2,0.479236,-1.483922,0.545779,-0.099583,-0.000651,0.008932,-0.17497,0.087054,1.572889,0.000934,-0.000887,-0.096004
25.25,0.474246,-1.48391,0.546217,-0.099806,0.000241,0.008763,-0.174973,0.087036,1.567456,-0.000356,5.9e-05,-0.108671
25.3,0.469252,-1.483868,0.546652,-0.099871,0.000838,0.008709,-0.175005,0.086984,1.561714,-0.001054,0.000639,-0.114906
25.35,0.46426,-1.48382,0.547087,-0.099844,0.000957,0.008698,-0.175023,0.086949,1.555926,-0.000694,0.000346,-0.115779
25.4,0.459271,-1.48376,0.547519,-0.099768,0.001209,0.008632,-0.175001,0.086969,1.550423,0.000398,-0.000444,-0.110027
25.45,0.454287,-1.483661,0.547948,-0.099682,0.001974,0.008591,-0.175095,0.086971,1.545602,-1e-06,0.001878,-0.096587
25.5,0.449308,-1.483558,0.548375,-0.099584,0.002071,0.008527,-0.17499,0.086978,1.541144,0.000208,-0.002079,-0.088971
25.55,0.444325,-1.483409,0.548788,-0.099655,0.002974,0.008264,-0.17495,0.087029,1.53602,0.001031,-0.000776,-0.102415
25.6,0.439334,-1.483199,0.549193,-0.099835,0.004193,0.008098,-0.175001,0.086984,1.530084,-0.000929,0.001,-0.118812
25.65,0.434341,-1.482976,0.549597,-0.099844,0.004474,0.00808,-0.175038,0.08694,1.523989,-0.000916,0.000691,-0.121956
25.7,0.429352,-1.482749,0.549999,-0.099785,0.004527,0.008053,-0.175036,0.086937,1.517908,-5.8e-05,-4.3e-05,-0.121614
25.75,0.424367,-1.482499,0.550399,-0.099699,0.005004,0.007984,-0.175059,0.086959,1.512257,0.000429,0.000491,-0.113069
25.8,0.419388,-1.48222,0.550795,-0.099592,0.005594,0.007935,-0.175069,0.086957,1.507221,-5.5e-05,0.000184,-0.100723
25.85,0.414409,-1.481918,0.551183,-0.099565,0.006038,0.00776,-0.175028,0.086999,1.501959,0.000892,-0.000756,-0.105184
25.9,0.409426,-1.481563,0.551561,-0.099665,0.00709,0.007552,-0.175019,0.086993,1.49592,-0.000108,-0.000189,-0.120766
25.95,0.404439,-1.481163,0.551934,-0.099738,0.007998,0.007463,-0.175056,0.086919,1.489398,-0.001536,0.000624,-0.130493
26.0,0.399454,-1.480755,0.552306,-0.099715,0.008158,0.007432,-0.175056,0.086869,1.482759,-0.001001,-8.8e-05,-0.132783
26.05,0.394477,-1.480338,0.552672,-0.099537,0.008353,0.007326,-0.175014,0.08693,1.476335,0.001297,-0.000726,-0.128398
26.1,0.389504,-1.479878,0.553036,-0.099449,0.009201,0.007277,-0.175133,0.086944,1.470556,4.6e-05,0.002396,-0.115801
26.15,0.384537,-1.47941,0.553397,-0.099336,0.009362,0.007231,-0.175036,0.086924,1.465232,-0.000198,-0.001965,-0.106306
26.2,0.379574,-1.478893,0.553744,-0.09927,0.010322,0.006931,-0.174979,0.087,1.459186,0.001633,-0.000975,-0.120817
26.25,0.374605,-1.478303,0.55408,-0.099384,0.011816,0.006721,-0.17505,0.086952,1.452196,-0.001111,0.0013,-0.139935
26.3,0.369635,-1.477692,0.554414,-0.099387,0.012217,0.006682,-0.175068,0.086891,1.444935,-0.001256,0.000218,-0.145235
26.35,0.364668,-1.477077,0.554747,-0.099353,0.012299,0.006662,-0.175077,0.086856,1.43762,-0.000712,9.3e-05,-0.146317
26.4,0.359711,-1.476437,0.555074,-0.099128,0.012796,0.006542,-0.175098,0.086915,1.430797,0.001114,0.000562,-0.136503
26.45,0.354763,-1.475762,0.555399,-0.098964,0.013499,0.006497,-0.17508,0.086903,1.424755,-0.000204,-0.000392,-0.120809
26.5,0.34982,-1.475062,0.555715,-0.098855,0.014001,0.006312,-0.175048,0.086954,1.418506,0.001101,-0.000484,-0.12492
26.55,0.344879,-1.474299,0.556015,-0.098835,0.015264,0.006009,-0.175028,0.086993,1.411288,0.000838,-0.000259,-0.144331
26.6,0.339934,-1.473473,0.556309,-0.09889,0.016522,0.005883,-0.175087,0.086894,1.403291,-0.002149,0.000845,-0.160038
26.65,0.334994,-1.472636,0.556601,-0.098813,0.01674,0.005831,-0.175071,0.086846,1.395132,-0.000892,-0.000482,-0.163157
26.7,0.330062,-1.471788,0.556887,-0.098622,0.016952,0.005726,-0.175048,0.086906,1.387167,0.001266,-0.000243,-0.159254
26.75,0.325139,-1.470897,0.557171,-0.098471,0.017823,0.005674,-0.175184,0.086912,1.379898,-0.000367,0.002695,-0.145617
26.8,0.320225,-1.469995,0.557452,-0.098273,0.018039,0.005625,-0.175049,0.086881,1.373208,-0.000112,-0.002759,-0.133577
26.85,0.315322,-1.469036,0.557715,-0.09806,0.019172,0.005255,-0.174989,0.086981,1.365767,0.002194,-0.000783,-0.148712
26.9,0.31042,-1.467987,0.557964,-0.098051,0.020983,0.004984,-0.175077,0.086919,1.357148,-0.001552,0.001466,-0.172537
26.95,0.30552,-1.466905,0.558209,-0.097998,0.021644,0.004904,-0.175076,0.086829,1.348078,-0.001772,-0.000399,-0.1814
27.0,0.300623,-1.465815,0.558452,-0.097927,0.021794,0.004863,-0.175054,0.086781,1.338924,-0.000824,-0.000635,-0.183025
27.05,0.295744,-1.464699,0.558687,-0.097588,0.022329,0.0047,-0.175093,0.086879,1.330287,0.001724,0.001198,-0.172815
27.1,0.290877,-1.463541,0.558921,-0.097344,0.023151,0.004664,-0.1751,0.086857,1.32258,-0.000462,2.5e-05,-0.154158
27.15,0.286021,-1.462358,0.559145,-0.097122,0.023676,0.004488,-0.175048,0.086876,1.314883,0.000627,-0.000901,-0.153847
27.2,0.281178,-1.461098,0.559348,-0.096855,0.025191,0.004054,-0.17502,0.086966,1.306022,0.001865,-8.3e-05,-0.177174
27.25,0.276338,-1.45975,0.559541,-0.096796,0.026961,0.003863,-0.175106,0.086835,1.296095,-0.00296,0.000956,-0.198688
27.3,0.271503,-1.458385,0.559731,-0.096695,0.027299,0.003805,-0.175121,0.086729,1.285939,-0.002117,-0.000282,-0.203148
27.35,0.266684,-1.457013,0.559914,-0.096384,0.027433,0.003656,-0.175068,0.086819,1.275941,0.002014,-0.000515,-0.199869
27.4,0.261878,-1.455594,0.560093,-0.096119,0.028384,0.003585,-0.175219,0.08687,1.266732,0.000108,0.003193,-0.184434
27.45,0.257084,-1.454156,0.560271,-0.09589,0.028764,0.003558,-0.175085,0.086755,1.258402,-0.001407,-0.003246,-0.166368
27.5,0.252314,-1.452659,0.560426,-0.095403,0.029933,0.003103,-0.175003,0.086892,1.249286,0.003117,-0.000703,-0.182176
27.55,0.247559,-1.451054,0.560563,-0.095093,0.032107,0.002739,-0.175114,0.086881,1.238839,-0.000915,0.002009,-0.209136
27.6,0.24281,-1.449395,0.560695,-0.094987,0.033183,0.002646,-0.175185,0.086717,1.227742,-0.003553,0.000273,-0.222055
27.65,0.238069,-1.447729,0.560823,-0.094818,0.033326,0.002555,-0.175148,0.086643,1.216522,-0.001148,-0.001192,-0.224348
27.7,0.233353,-1.44604,0.56094,-0.094317,0.033777,0.002336,-0.175123,0.086808,1.205818,0.003261,0.00068,-0.214027
27.75,0.228651,-1.444296,0.561057,-0.09404,0.03487,0.002338,-0.175227,0.086756,1.1962,-0.001701,0.001578,-0.192538
27.8,0.223967,-1.442539,0.561166,-0.093684,0.035137,0.002174,-0.175114,0.086791,1.186731,0.001466,-0.001861,-0.189197
27.85,0.219315,-1.44069,0.561246,-0.093037,0.036977,0.00161,-0.175041,0.086903,1.176151,0.002631,-0.00049,-0.211465
27.9,0.214682,-1.43872,0.561313,-0.092649,0.039405,0.00133,-0.175206,0.086734,1.16424,-0.004395,0.001734,-0.238514
27.95,0.210066,-1.436731,0.561372,-0.092322,0.03979,0.001189,-0.175195,0.08666,1.152111,-0.001261,-0.000794,-0.242559
28.0,0.205461,-1.434732,0.561426,-0.0921,0.039978,0.001086,-0.175183,0.086702,1.140059,0.000861,0.000134,-0.241014
28.05,0.200879,-1.432691,0.561475,-0.091653,0.040811,0.000964,-0.175298,0.08679,1.128828,0.000649,0.002808,-0.224812
28.1,0.196315,-1.430626,0.561521,-0.091268,0.041311,0.000924,-0.175179,0.086771,1.118494,0.000654,-0.002303,-0.206486
28.15,0.191783,-1.428499,0.561545,-0.090642,0.042525,0.000491,-0.175135,0.086891,1.107573,0.002553,0.000258,-0.218343
28.2,0.187291,-1.426257,0.561545,-0.089842,0.044857,-1e-05,-0.175182,0.086882,1.095381,-0.000571,0.000756,-0.243915
28.25,0.18282,-1.423934,0.561537,-0.089424,0.046444,-0.000162,-0.175314,0.086672,1.082385,-0.004943,0.000426,-0.260148
28.3,0.178374,-1.421601,0.56152,-0.088917,0.046667,-0.000343,-0.175289,0.08669,1.069366,0.000541,-0.000279,-0.260342
28.35,0.173945,-1.419253,0.561494,-0.088574,0.046961,-0.00052,-0.175217,0.086832,1.056714,0.003174,0.000107,-0.252922
28.4,0.169534,-1.416847,0.561468,-0.088236,0.048122,-0.000506,-0.175338,0.086724,1.045178,-0.003053,0.001043,-0.230918
28.45,0.165139,-1.41444,0.561438,-0.087893,0.048143,-0.000605,-0.175199,0.086718,1.033866,0.00128,-0.002459,-0.226001
28.5,0.160807,-1.411935,0.561373,-0.086647,0.050093,-0.001302,-0.175098,0.086894,1.021431,0.004053,6.3e-05,-0.248531
28.55,0.156528,-1.409274,0.561287,-0.085564,0.053225,-0.001718,-0.175349,0.086723,1.007622,-0.005523,0.002473,-0.276606
28.6,0.152281,-1.406591,0.561191,-0.084944,0.053656,-0.001915,-0.175367,0.086702,0.993617,-0.000551,8.7e-05,-0.280137
28.65,0.148043,-1.403901,0.561092,-0.084771,0.0538,-0.001991,-0.175345,0.086742,0.979632,0.000909,7.8e-05,-0.279667
28.7,0.143824,-1.401174,0.560987,-0.084363,0.054544,-0.002106,-0.175435,0.086762,0.966407,-0.00066,0.001695,-0.264659
28.75,0.139628,-1.398421,0.560879,-0.083933,0.055049,-0.002144,-0.17534,0.086666,0.95405,-0.000505,-0.002634,-0.246976
28.8,0.135479,-1.395621,0.56075,-0.082979,0.056002,-0.002593,-0.175221,0.086804,0.941267,0.003624,-0.000341,-0.255442
28.85,0.131409,-1.392683,0.56059,-0.081394,0.058758,-0.003192,-0.175333,0.086833,0.927515,-0.000839,0.002139,-0.275241
28.9,0.127398,-1.38965,0.560415,-0.080225,0.060669,-0.003511,-0.175444,0.086709,0.913054,-0.003314,0.000288,-0.289409
28.95,0.123409,-1.3866,0.560232,-0.079786,0.060992,-0.003658,-0.175413,0.086644,0.898555,-0.00066,-0.001285,-0.289927
29.0,0.119445,-1.383542,0.560038,-0.079275,0.061175,-0.003865,-0.175323,0.08682,0.884308,0.00387,0.000784,-0.284776
29.05,0.115499,-1.380421,0.559846,-0.078915,0.062401,-0.003838,-0.175595,0.086745,0.871048,-0.004597,0.003244,-0.265675
29.1,0.111564,-1.377317,0.55965,-0.078709,0.062097,-0.003926,-0.175363,0.086631,0.858149,0.001242,-0.004995,-0.25758
29.15,0.107723,-1.374119,0.559419,-0.076806,0.063959,-0.004622,-0.175233,0.086839,0.844618,0.004838,0.000746,-0.270394
29.2,0.103979,-1.370759,0.559164,-0.074887,0.067185,-0.005103,-0.175551,0.086742,0.830256,-0.005662,0.003459,-0.2878
29.25,0.100276,-1.367377,0.558897,-0.074062,0.067654,-0.005343,-0.175524,0.086663,0.815825,-0.0008,-0.001461,-0.288561
29.3,0.096581,-1.363985,0.558627,-0.073902,0.067842,-0.005395,-0.175495,0.086607,0.801341,-0.000419,-0.001187,-0.289641
29.35,0.092926,-1.360567,0.558346,-0.073101,0.068361,-0.005623,-0.175501,0.086798,0.78752,0.002656,0.002744,-0.276425
29.4,0.089284,-1.357114,0.558066,-0.072843,0.069052,-0.00559,-0.175502,0.086655,0.774645,-0.002046,-0.002012,-0.257494
29.45,0.085685,-1.353634,0.557771,-0.071976,0.069606,-0.005916,-0.175402,0.086651,0.761581,0.001367,-0.00145,-0.261115
29.5,0.082208,-1.350045,0.55744,-0.069531,0.071772,-0.006605,-0.175414,0.086857,0.747788,0.002681,0.003139,-0.275879
29.55,0.078808,-1.346351,0.557094,-0.067995,0.073877,-0.006918,-0.175639,0.086799,0.733307,-0.004071,0.002207,-0.290012
29.6,0.075433,-1.342648,0.556742,-0.067501,0.074058,-0.007054,-0.175637,0.086737,0.718795,-0.000794,-0.000945,-0.290232
29.65,0.072082,-1.338943,0.556381,-0.067022,0.074114,-0.007222,-0.17552,0.086868,0.704484,0.00347,0.000434,-0.286025
29.7,0.068755,-1.335184,0.556021,-0.066553,0.07518,-0.007194,-0.175778,0.086806,0.691052,-0.004718,0.002381,-0.269091
29.75,0.065431,-1.331439,0.555657,-0.066477,0.074892,-0.007282,-0.175567,0.086629,0.677979,0.00098,-0.005416,-0.261095
29.8,0.062217,-1.327622,0.555262,-0.06428,0.076336,-0.007888,-0.175442,0.086799,0.664546,0.004083,0.001094,-0.268442
29.85,0.059137,-1.323669,0.554842,-0.061606,0.079068,-0.008406,-0.175736,0.086858,0.650476,-0.003894,0.004541,-0.281893
29.9,0.056108,-1.319685,0.55441,-0.06058,0.079678,-0.00865,-0.175742,0.086763,0.636285,-0.001246,-0.001443,-0.283848
29.95,0.053093,-1.315692,0.553974,-0.060288,0.079855,-0.008721,-0.175711,0.086684,0.622088,-0.000437,-0.001633,-0.283881
30.0,0.050118,-1.311689,0.553527,-0.059497,0.080071,-0.008938,-0.175623,0.086868,0.608399,0.003559,0.001966,-0.273622
30.05,0.047161,-1.307642,0.553082,-0.059142,0.080932,-0.008887,-0.175764,0.086749,0.595622,-0.003658,-0.00034,-0.255789
30.1,0.044236,-1.303592,0.552627,-0.058496,0.08101,-0.00911,-0.175651,0.086675,0.582867,0.00103,-0.00248,-0.254911
30.15,0.041449,-1.299463,0.552141,-0.055746,0.082567,-0.009718,-0.175613,0.086884,0.569845,0.002941,0.00306,-0.260369
30.2,0.038768,-1.295236,0.551639,-0.05363,0.084542,-0.01004,-0.175862,0.086849,0.556559,-0.004559,0.002098,-0.266147
30.25,0.036116,-1.291007,0.551129,-0.053037,0.084575,-0.010206,-0.175821,0.08676,0.543361,-0.000252,-0.001949,-0.26389
30.3,0.033486,-1.286774,0.550612,-0.052588,0.084661,-0.01033,-0.175737,0.086823,0.530359,0.002076,0.000211,-0.259902
30.35,0.030888,-1.282511,0.550093,-0.051964,0.085258,-0.010382,-0.175859,0.086918,0.51799,-0.001122,0.00287,-0.247583
30.4,0.028295,-1.278242,0.549573,-0.051864,0.085387,-0.010398,-0.175804,0.086729,0.506204,-0.000913,-0.003824,-0.235619
30.45,0.025794,-1.27394,0.549032,-0.050009,0.086038,-0.01083,-0.175682,0.086838,0.494247,0.003167,0.000725,-0.238937
30.5,0.023434,-1.269554,0.548467,-0.047203,0.087717,-0.011298,-0.175771,0.087005,0.482051,3.5e-05,0.003778,-0.244075
30.55,0.021129,-1.265125,0.547894,-0.046099,0.088591,-0.011451,-0.175933,0.086951,0.469738,-0.003363,0.000545,-0.246537
30.6,0.01884,-1.260698,0.547317,-0.045785,0.088542,-0.011541,-0.175918,0.08687,0.457456,-0.000469,-0.00159,-0.245611
30.65,0.016583,-1.256272,0.546732,-0.045145,0.088519,-0.011705,-0.175767,0.086982,0.44555,0.003681,0.000692,-0.237854
30.7,0.01435,-1.251802,0.546149,-0.044657,0.089401,-0.011659,-0.175993,0.086909,0.434485,-0.00468,0.000631,-0.221708
30.75,0.012133,-1.247343,0.545559,-0.044347,0.089178,-0.011803,-0.175879,0.086786,0.423528,0.001028,-0.003197,-0.218927
30.8,0.010042,-1.242841,0.544945,-0.041809,0.090033,-0.012276,-0.175759,0.086951,0.412369,0.003531,0.002036,-0.222987
30.85,0.008073,-1.238261,0.544316,-0.039385,0.091596,-0.012581,-0.17597,0.087028,0.40101,-0.003243,0.00308,-0.227537
30.9,0.006128,-1.233679,0.543682,-0.038896,0.091645,-0.012685,-0.176006,0.086965,0.389705,-0.001145,-0.00087,-0.22616
30.95,0.004199,-1.2291,0.543043,-0.038592,0.091579,-0.012769,-0.175933,0.08697,0.378522,0.001388,-0.000474,-0.223548
31.0,0.002299,-1.224507,0.542402,-0.038002,0.091868,-0.012834,-0.175946,0.087056,0.367828,0.000381,0.001697,-0.213894
31.05,0.00041,-1.219896,0.54176,-0.037769,0.09222,-0.012828,-0.176011,0.0869,0.357764,-0.002314,-0.00244,-0.201384
31.1,-0.001409,-1.215278,0.541104,-0.036376,0.092343,-0.013128,-0.175897,0.086968,0.347585,0.002589,0.000473,-0.203387
31.15,-0.003102,-1.210616,0.54043,-0.033865,0.093247,-0.013487,-0.17587,0.087113,0.337298,0.001498,0.002541,-0.205694
31.2,-0.004731,-1.205912,0.539749,-0.03258,0.09408,-0.01362,-0.17604,0.087112,0.326919,-0.003191,0.001114,-0.207869
31.25,-0.006344,-1.201212,0.539064,-0.032263,0.094006,-0.013696,-0.176058,0.087042,0.316613,-0.000794,-0.001216,-0.206162
31.3,-0.007934,-1.196521,0.538373,-0.031804,0.093823,-0.013817,-0.175889,0.087097,0.306551,0.003532,6e-06,-0.200943
31.35,-0.009496,-1.191795,0.537683,-0.031242,0.094503,-0.013789,-0.176077,0.087101,0.297157,-0.003532,0.001198,-0.188208
31.4,-0.011057,-1.187077,0.536991,-0.03121,0.094361,-0.013846,-0.176065,0.086974,0.287943,-0.000529,-0.002487,-0.184252
31.45,-0.012511,-1.182348,0.536281,-0.029092,0.094597,-0.014206,-0.175893,0.087064,0.278643,0.00381,0.00075,-0.185703
31.5,-0.013843,-1.177562,0.535558,-0.026626,0.095708,-0.01446,-0.176042,0.087173,0.269262,-0.002258,0.002906,-0.187893
31.55,-0.015153,-1.172776,0.534831,-0.026196,0.095726,-0.014543,-0.176068,0.087127,0.259928,-0.000741,-0.000747,-0.186723
31.6,-0.016452,-1.167989,0.534102,-0.025994,0.095735,-0.014575,-0.176072,0.087115,0.250652,-0.000156,-0.000217,-0.18553
31.65,-0.017726,-1.163204,0.533369,-0.025482,0.095703,-0.014657,-0.175999,0.087176,0.24178,0.00172,0.000829,-0.177308
31.7,-0.018985,-1.158398,0.532637,-0.025175,0.096114,-0.014642,-0.176099,0.087092,0.233448,-0.002334,-0.001155,-0.166818
31.75,-0.020197,-1.153596,0.531896,-0.024236,0.096045,-0.01482,-0.176035,0.087109,0.225111,0.001307,3.1e-05,-0.166625
31.8,-0.021305,-1.148777,0.531141,-0.022154,0.096374,-0.015097,-0.175936,0.087211,0.216744,0.002398,0.001556,-0.16717
31.85,-0.022345,-1.143924,0.530381,-0.020803,0.09706,-0.015199,-0.176089,0.087264,0.208303,-0.00276,0.001681,-0.169088
31.9,-0.023373,-1.139076,0.529618,-0.020562,0.096974,-0.015262,-0.176112,0.087215,0.199896,-0.000649,-0.000865,-0.16818
31.95,-0.024385,-1.134237,0.528851,-0.020232,0.096781,-0.015338,-0.175986,0.087234,0.191689,0.002526,-0.000128,-0.163913
32.0,-0.02537,-1.129379,0.528084,-0.019716,0.097152,-0.015337,-0.176064,0.087256,0.183991,-0.001439,0.000738,-0.154099
32.05,-0.026353,-1.124517,0.527317,-0.019651,0.097243,-0.015349,-0.176135,0.087146,0.17656,-0.00179,-0.001915,-0.148741
32.1,-0.027258,-1.119662,0.526537,-0.018095,0.097102,-0.015605,-0.17598,0.087199,0.169054,0.003232,0.000517,-0.149841
32.15,-0.028059,-1.114778,0.525747,-0.016031,0.097671,-0.015793,-0.17602,0.087296,0.161522,-0.000453,0.002042,-0.150711
32.2,-0.028835,-1.109884,0.524955,-0.015512,0.097884,-0.015837,-0.176122,0.08731,0.15399,-0.001962,0.000598,-0.150827
32.25,-0.029607,-1.104993,0.524162,-0.015438,0.097816,-0.015866,-0.176148,0.087277,0.146453,-0.000616,-0.000572,-0.150793
32.3,-0.030357,-1.100112,0.523365,-0.015004,0.097626,-0.015945,-0.176029,0.087296,0.139278,0.002401,3.4e-05,-0.14329
32.35,-0.031086,-1.095207,0.522569,-0.014582,0.098092,-0.015917,-0.176171,0.087241,0.132652,-0.002955,-0.000691,-0.13277
32.4,-0.031789,-1.090315,0.521767,-0.014064,0.097847,-0.016038,-0.176108,0.087232,0.125979,0.00122,-0.000349,-0.133343
32.45,-0.03241,-1.08542,0.520955,-0.012422,0.0979,-0.016233,-0.175984,0.087306,0.119275,0.002639,0.001152,-0.133854
32.5,-0.032967,-1.080503,0.520139,-0.011131,0.098335,-0.016318,-0.176066,0.087374,0.112498,-0.00146,0.001545,-0.135701
32.55,-0.033512,-1.075586,0.519322,-0.010907,0.098339,-0.016352,-0.176112,0.087365,0.10573,-0.000944,-8.1e-05,-0.135429
32.6,-0.034048,-1.070679,0.518502,-0.01071,0.098148,-0.016402,-0.176027,0.087367,0.099105,0.001702,-0.000125,-0.132361
32.65,-0.034562,-1.065763,0.517681,-0.010286,0.098318,-0.016415,-0.176038,0.087388,0.092857,-0.000188,0.000426,-0.124972
32.7,-0.035068,-1.060834,0.516861,-0.010121,0.09858,-0.016401,-0.176181,0.087308,0.086936,-0.002981,-0.001319,-0.118679
32.75,-0.035522,-1.055923,0.516031,-0.009074,0.098213,-0.016589,-0.176038,0.087322,0.080873,0.002855,2.3e-05,-0.121012
32.8,-0.035894,-1.051001,0.515195,-0.007444,0.098437,-0.016726,-0.175996,0.087406,0.074653,0.000971,0.001608,-0.12432
32.85,-0.036237,-1.046069,0.514357,-0.00686,0.098645,-0.016754,-0.17607,0.087444,0.068393,-0.001401,0.000879,-0.125322
32.9,-0.036575,-1.041137,0.513519,-0.006768,0.09864,-0.016771,-0.176118,0.087448,0.062113,-0.00096,0.000132,-0.125697
32.95,-0.036901,-1.036216,0.512677,-0.006506,0.098419,-0.01683,-0.176013,0.087439,0.056091,0.002083,-0.000295,-0.120254
33.0,-0.037205,-1.031277,0.511837,-0.006081,0.098787,-0.016807,-0.176142,0.087416,0.050519,-0.002597,-0.000319,-0.111654
33.05,-0.037493,-1.026344,0.510993,-0.005769,0.098648,-0.016876,-0.176154,0.087368,0.045004,-0.000284,-0.000942,-0.11033
33.1,-0.037715,-1.021422,0.510141,-0.004436,0.098439,-0.017038,-0.176015,0.087407,0.039372,0.0028,0.000645,-0.112395
33.15,-0.037872,-1.016486,0.509286,-0.003144,0.098721,-0.017113,-0.176055,0.08747,0.03364,-0.000746,0.001291,-0.114702
33.2,-0.038017,-1.011547,0.508429,-0.002892,0.098791,-0.01713,-0.176127,0.087497,0.027899,-0.001406,0.000578,-0.114949
33.25,-0.038157,-1.006617,0.507571,-0.002803,0.098593,-0.017171,-0.176064,0.08748,0.022249,0.001246,-0.000364,-0.112887
33.3,-0.038279,-1.001687,0.506711,-0.002447,0.098604,-0.017193,-0.176016,0.087488,0.016906,0.000947,0.00014,-0.106771
33.35,-0.038388,-0.996741,0.505853,-0.002184,0.098921,-0.017168,-0.176166,0.087453,0.011892,-0.003,-0.000656,-0.100556
33.4,-0.038464,-0.991814,0.504988,-0.001506,0.098549,-0.017297,-0.176065,0.087442,0.006731,0.002016,-0.00025,-0.10304
33.45,-0.038476,-0.986885,0.504118,-0.000245,0.098562,-0.017399,-0.175989,0.087492,0.001321,0.001529,0.001005,-0.108062
33.5,-0.038457,-0.981949,0.503247,0.00037,0.098718,-0.017423,-0.176029,0.08754,-0.004207,-0.000794,0.000958,-0.110626
